candidate,text,tweet_id
Trump,https://t.co/lanqvbZfJj,1305937345678659586
Trump,"Bring back @JudgeJeanine Pirro. The Radical Left Democrats, working closely with their beloved partner, the Fake Ne… https://t.co/iANGppppsq",1107269978678611969
Trump,Just made my second stop in Minnesota for a MAKE AMERICA GREAT AGAIN rally. We need to elect @KarinHousley to the U… https://t.co/rOGv3fAwzV,1047984297607618565
Trump,Thank you @kevinomccarthy! https://t.co/DhcGpWEOME,1176702213613334535
Trump,The Democrats see chaos as their way while President Trump sees the Rule of Law. Mayor @kenblackwell Thank you Ken!,1299673322775613440
Trump,"The Fake News knows that Sleepy Joe doesn’t have a clue, and they want to protect his Radical Left Democrat enabler… https://t.co/n4li6LCwAM",1303105851130081280
Trump,“I’m voting for Donald Trump. My father is a Union Worker and his 401K has tripled under President Trump.” USA Vote… https://t.co/JN6HUklDg5,1313061137366298625
Trump,"TODAY is the LAST day to register to VOTE in ARIZONA, FLORIDA, GEORGIA, OHIO, AND TEXAS! Click below for more infor… https://t.co/cycQvxdcyB",1313088617863098368
Trump,"Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain
https://t.co/3AnrRV7uSz",1313136308152401922
Trump,Exclusive Excerpt--Lewandowski &amp; Bossie: ‘Trump: America First: The President Succeeds Against All Odds’… https://t.co/afXOj5zYEW,1313152454058340352
Biden,https://t.co/eoxT07d7QB https://t.co/J6mYQG0oF2,1313160521126903815
Biden,"Folks, if you live in:

Arizona
Arkansas
Florida
Georgia
Hawaii
Indiana
Kentucky
Mississippi
Ohio
South Carolina
Te… https://t.co/gE3DWSzHlm",1313215382803681280
Trump,"....invincible hero, who not only survived every dirty trick the Democrats threw at him, but the Chinese virus as w… https://t.co/GBIQh37RMp",1313236041315373057
Biden,"Folks, starting today, I'm trying something new.

I'll be writing notes to you about my plans to build our country… https://t.co/MGmYyBTlgL",1313253886619246593
Biden,These good boys are ready to build bark better. https://t.co/OzaEkehJUR,1313237533627645954
Biden,"More than 200,000 Americans have died. 50,000 Americans are getting the virus every day. 1,000 a day are dying. Thi… https://t.co/PmzH3QoeKY",1313275529064316928
Trump,https://t.co/OxmRcZ5nUZ,1313267615083761665
Trump,https://t.co/Sn4yTTg8eB,1313267143232942081
Trump,"....invincible hero, who not only survived every dirty trick the Democrats threw at him, but the Chinese virus as w… https://t.co/8h8669ri2B",1313266827653414913
Biden,"As president, I'll do what I've always done in the past: bring people together.

Peaceful protesters, police office… https://t.co/VlWjQLi1FP",1313279555365408769
Trump,This is unbelievable! https://t.co/R1FCUnnzXz,1262359320060145664
